csv_organization,name,status,address,year,contributions,revenue
Gaithersburg HELP,"Gaithersburg Elementary School PTA, LTD",Current,"35 N Summit Ave, Gaithersburg, Maryland, 20877",2024,"$14,464.17",$0.00
Gaithersburg HELP,Gaithersburg HELP,Current,"301 Muddy Branch Road, Gaithersburg, Maryland, 20878",2024,"$574,068.00","$754,612.00"
"HIAS, Inc.","Academy of Music of Philadelphia, Inc.",Current,"300 South Broad Street, Philadelphia, Pennsylvania, 19102",2024,"$2,547,881.00","$1,405,807.00"
"HIAS, Inc.","American Academy of Child and Adolescent Psychiatry, Inc.",Current,"3615 Wisconsin Avenue NW, Washington, District of Columbia, 20016",2024,"$5,281,455.00","$14,104,846.00"
"HIAS, Inc.","Appalachia Service Project, Inc.",Delinquent,"4523 Bristol Hwy, Johnson City, Tennessee, 37601",2023,"$7,519,875.00","$13,873,591.00"
"HIAS, Inc.","Appalachian Farm and Food Alliance, Inc",Current,"1916 Maryland Highway, Suite A, Mountain Lake Park, Maryland, 21550",2025,$0.00,$0.00
"HIAS, Inc.",Appalachian Mountain Ministries Inc.,Closed,", , ,",,,
"HIAS, Inc.","Appalachian Outreach Mission, Inc.",Closed,", , ,",2014,$40.00,"$1,553.00"
"HIAS, Inc.","Appalachian Parent Association, Inc.",Delinquent,"39 S Third Street, Oakland, Maryland, 21550",2023,"$5,295.00","$73,110.00"
"HIAS, Inc.","Appalachian State University Foundation, Inc.",Current,"553 Blowing Rock Road, Boone, North Carolina, 28607",2024,"$33,193,047.00","$32,111,137.00"
"HIAS, Inc.","Appalachian Studies Association, Inc",Current,"1 John Marshall Dr, Huntington, West Virginia, 25755",2024,"$97,692.00","$176,937.00"
"HIAS, Inc.","Boys & Girls Club of Philadelphia, Inc.",Closed,", , ,",2005,"$1,026,310.00","$6,320,910.00"
"HIAS, Inc.","Brachial Plexus Connection, Inc.",Current,"3930 Duvall Ave, Baltimore, Maryland, 21216",2024,$0.00,$0.00
"HIAS, Inc.",C&S Patient Education Foundation,Current,"320 Osprey Ct., Wexford, Pennsylvania, 19050",2024,"$464,844.00","$426,917.00"
"HIAS, Inc.",Chesapeake Charities,Current,"101 Log Canoe Circle, Suite O, Stevensville, Maryland, 21666",2024,"$3,299,847.00","$3,585,190.00"
"HIAS, Inc.","Chiaroscuro Institute, Inc.",Closed,", , ,",2016,"$373,815.00","$373,815.00"
"HIAS, Inc.","Childhelp, Inc.",Current,"6730 N Scottsdale Rd. Ste 150, Scottsdale, Arizona, 85253",2024,"$18,505,423.00","$64,786,542.00"
"HIAS, Inc.","Christian Appalachian Project, Inc.",Pending,"485 Ponderosa Drive, Paintsville, Kentucky, 41240",2025,"$234,338,409.00","$237,184,582.00"
"HIAS, Inc.","Climate Psychiatry Alliance, Inc.",Current,"6909 Radnor Road, Bethesda, Maryland, 20817",2024,"$68,914.00","$68,914.00"
"HIAS, Inc.","Cocal Gracias, Inc.",Current,"3629 W Rudolf Drive, Tucson, Arizona, 85741",2024,"$233,130.00","$253,446.00"
"HIAS, Inc.","Corinthian Lodge Charitable Foundation, Inc.",Current,"507 West Chesapeake Avenue, Towson, Maryland, 21204",2025,"$2,347.30",$0.00
"HIAS, Inc.","Corinthian Yacht Club, Inc.",Closed,", , ,",2009,"$57,384.00","$279,405.00"
"HIAS, Inc.","Cynthia and Dennis Mather Foundation, Inc.",Closed,", , ,",,,
SAMU Foundation (dba SAMU First Response),"AAMI Foundation, Inc.",Current,"901 North Glebe St Suite 300, Arlington, Virginia, 22203",2024,"$120,067.00","$326,972.00"
SAMU Foundation (dba SAMU First Response),"Alice's Dream Foundation, Inc.",Current,"4305 Buckskin Wood Drive, Ellicott City, Maryland, 21042",2024,$50.00,$0.00
SAMU Foundation (dba SAMU First Response),Andrew Gomez Dream Foundation,Delinquent,"9756 South Sandy Parkway, Sandy, UT 84070, , ,",2020,"$796,831.00","$797,740.00"
SAMU Foundation (dba SAMU First Response),"Artists 4 Amy Foundation, Inc.",Not Current,", , ,",2017,"$15,000.00",$0.00
SAMU Foundation (dba SAMU First Response),"ASME Foundation, Inc.",Current,"Two Park Ave, 20th floor, New York, New York, 10016",2024,"$3,736,809.00","$6,198,250.00"
SAMU Foundation (dba SAMU First Response),Auschwitz-Birkenau Memorial Foundation,Delinquent,"483 10th Avenue, Suite 425, New York, New York, 10018",2023,"$1,245,535.00","$1,303,408.00"
SAMU Foundation (dba SAMU First Response),Barack Obama Foundation (The),Current,"5235 S. Harper Court, Suite 1140, Chicago, Illinois, 60615",2024,"$194,905,424.00","$209,759,915.00"
SAMU Foundation (dba SAMU First Response),"Barbara Bush Foundation For Family Literacy, Inc. (The)",Current,"1307 New York Avenue, N.W., Suite 701, Washington, District of Columbia, 20005",2024,"$729,576.00","$2,474,517.00"
